Number of contigs:11926.000000
Maximum contig lenth:4059.000000
Mean contig:184.107915
Total length of the genome assembly:2195671.000000
Mean depth coverage:37.591820
N50 value of assembly:301.000000
# Contig length	Number of contigs in this category
0	5710
100	3965
200	644
300	430
400	294
500	203
600	157
700	112
800	82
900	66
1000	47
1100	41
1200	30
1300	30
1400	21
1500	19
1600	12
1700	12
1800	12
1900	6
2000	4
2100	5
2200	4
2300	4
2400	1
2500	4
2600	1
2700	3
2800	1
2900	0
3000	0
3100	1
3200	1
3300	0
3400	0
3500	0
3600	2
3700	0
3800	1
3900	0
4000	1
